id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,0.04,False
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,dreamy,0.72,False
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010s,aggressive,0.05,False
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020s,dreamy,0.81,False
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,euphoric,0.02,False
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010s,dreamy,0.88,False
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,51,2010s,nostalgic,0.45,False
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,67,2020s,nostalgic,0.32,False
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,53,2020s,dreamy,0.75,False
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,71,2010s,euphoric,0.08,False
11,Electric Heat,Synth Force,electronic,energetic,0.87,138,0.68,0.89,0.06,74,2020s,euphoric,0.38,False
12,Basement Cipher,MC Flow,hip-hop,groovy,0.72,105,0.65,0.81,0.08,76,2010s,rebellious,0.06,True
13,Velvet Soul,Diana Smooth,soul,romantic,0.54,88,0.76,0.59,0.48,60,2000s,melodic,0.12,False
14,Desert Roads,Country Soul,country,melancholic,0.46,112,0.38,0.42,0.82,44,2010s,nostalgic,0.10,False
15,Dawn Meditation,Violin Essence,classical,contemplative,0.29,65,0.62,0.12,0.93,38,2010s,melodic,0.95,False
16,Metal Thunder,Iron Reign,metal,intense,0.96,160,0.25,0.48,0.04,63,2010s,aggressive,0.08,False
17,Island Reggae,Tropical Vibes,reggae,relaxed,0.55,98,0.74,0.68,0.77,57,2000s,melodic,0.18,False
18,Blues in Minor,Midnight Blues,blues,melancholic,0.41,84,0.39,0.51,0.86,45,1990s,nostalgic,0.22,False
19,Neon Dark,Glitch Code,electronic,dark,0.84,135,0.28,0.77,0.05,69,2020s,aggressive,0.42,False
20,Mountain Folk,Acoustic Heart,folk,uplifting,0.62,102,0.78,0.64,0.88,49,2010s,melodic,0.35,False
